# MKM Parameters
#
# Alpha0 = 0.162605 Gy-1
# Beta = 0.0789754 Gy-2
# AlphaX = 0.313 Gy-1 Reference radiation
# Domain Radius = 0.457156 um
# Nucleus Radius = 8 um
#
# Dose[Gy], Survival, SurvivalStd, RBE, RBEStd
0.0000000, 0.9924761, 0.0000000, 0.0000000, 0.0000000
1.0000000, 0.2066709, 0.0000000, 3.7146191, 0.0000000
2.0000000, 0.0423385, 0.0000000, 3.1496081, 0.0000000
3.0000000, 0.0090713, 0.0000000, 2.7822744, 0.0000000
4.0000000, 0.0019792, 0.0000000, 2.5259461, 0.0000000
5.0000000, 0.0004023, 0.0000000, 2.3497233, 0.0000000
6.0000000, 0.0000881, 0.0000000, 2.1966487, 0.0000000
7.0000000, 0.0000203, 0.0000000, 2.0661896, 0.0000000
8.0000000, 0.0000043, 0.0000000, 1.9671004, 0.0000000
9.0000000, 0.0000010, 0.0000000, 1.8778560, 0.0000000
10.0000000, 0.0000002, 0.0000000, 1.8021384, 0.0000000
