D(Gy)    e-       Hprim    Hsec    He      Li      Be      B        C       Other    Total[Survival]
0.0000000  0.1100380  0.0000000  0.4513827  0.4155513  0.0014971  0.0000225  0.0000008  0.0000030  0.0139808  0.9924761  
1.0000000  0.0463948  0.0000000  0.0008028  0.0031305  0.0001989  0.0007069  0.0044477  0.1488531  0.0021362  0.2066709  
2.0000000  0.0094779  0.0000000  0.0001356  0.0005467  0.0000356  0.0001288  0.0008147  0.0308043  0.0003950  0.0423385  
3.0000000  0.0020289  0.0000000  0.0000285  0.0001159  0.0000075  0.0000275  0.0001751  0.0066035  0.0000844  0.0090713  
4.0000000  0.0004425  0.0000000  0.0000062  0.0000253  0.0000016  0.0000060  0.0000382  0.0014407  0.0000185  0.0019792  
5.0000000  0.0000899  0.0000000  0.0000012  0.0000050  0.0000003  0.0000012  0.0000076  0.0002933  0.0000037  0.0004023  
6.0000000  0.0000197  0.0000000  0.0000003  0.0000011  0.0000001  0.0000003  0.0000017  0.0000643  0.0000008  0.0000881  
7.0000000  0.0000045  0.0000000  0.0000001  0.0000003  0.0000000  0.0000001  0.0000004  0.0000148  0.0000002  0.0000203  
8.0000000  0.0000010  0.0000000  0.0000000  0.0000001  0.0000000  0.0000000  0.0000001  0.0000031  0.0000000  0.0000043  
9.0000000  0.0000002  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000007  0.0000000  0.0000010  
10.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000  0.0000002  0.0000000  0.0000002  
