# MKM Parameters
#
# Alpha0 = 0.162605 Gy-1
# Beta = 0.0789754 Gy-2
# AlphaX = 0.313 Gy-1 Reference radiation
# Domain Radius = 0.457156 um
# Nucleus Radius = 8 um
#
# Dose[Gy], Survival, SurvivalStd, RBE, RBEStd
0.0000000, 1.0000000, 0.0000000, 0.0000000, nan
1.0000000, 0.2046305, 0.0002635, 3.7331147, 0.0023979
2.0000000, 0.0385034, 0.0001022, 3.2179132, 0.0018984
3.0000000, 0.0066633, 0.0000273, 2.9069191, 0.0016301
4.0000000, 0.0010612, 0.0000059, 2.6918657, 0.0014564
5.0000000, 0.0001556, 0.0000011, 2.5314552, 0.0013324
6.0000000, 0.0000210, 0.0000002, 2.4058096, 0.0012388
7.0000000, 0.0000026, 0.0000000, 2.3039549, 0.0011654
8.0000000, 0.0000003, 0.0000000, 2.2192494, 0.0011064
9.0000000, 0.0000000, 0.0000000, 2.1473984, 0.0010582
10.0000000, 0.0000000, 0.0000000, 2.0854809, 0.0010183
