# MKM Parameters
#
# Alpha0 = 0.19 Gy-1
# Beta = 0.07 Gy-2
# AlphaX = 0.313 Gy-1 Reference radiation
# Domain Radius = 0.44 um
# Nucleus Radius = 3.9 um
#
# Dose[Gy], Survival, SurvivalStd, RBE, RBEStd
0.0000000, 1.0000000, 0.0000000, 0.0000000, nan
1.0000000, 0.1667149, 0.0014993, 4.1069206, 0.0160763
2.0000000, 0.0241628, 0.0029986, 3.5421060, 0.0840737
3.0000000, 0.0030445, 0.0044980, 3.2092939, 0.5529136
4.0000000, 0.0003335, 0.0059973, 2.9829965, 4.3694171
5.0000000, 0.0000318, 0.0074966, 2.8165041, 40.7703984
6.0000000, 0.0000026, 0.0089959, 2.6876596, 445.3155244
7.0000000, 0.0000002, 0.0104953, 2.5843549, 5665.7758111
8.0000000, 0.0000000, 0.0119946, 2.4993192, 83712.2192164
9.0000000, 0.0000000, 0.0134939, 2.4278808, 1433403.4487288
10.0000000, 0.0000000, 0.0149932, 2.3668802, 28403723.4644326
