y(keV/um)    e-           Hprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
1.0610e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.1905e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.3357e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.4987e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.6816e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.8868e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.1170e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.3753e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.6651e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.9903e-01   2.8498e-06   0.0000e+00   4.0601e-05   3.6977e-06   4.0880e-09   0.0000e+00   0.0000e+00   0.0000e+00   1.0096e-06   4.8163e-05   
3.3552e-01   7.5593e-06   0.0000e+00   9.9492e-05   1.1350e-05   7.0949e-09   0.0000e+00   0.0000e+00   0.0000e+00   2.3572e-06   1.2077e-04   
3.7646e-01   8.8712e-06   0.0000e+00   1.1226e-04   1.5068e-05   2.0272e-08   0.0000e+00   0.0000e+00   0.0000e+00   3.2209e-06   1.3944e-04   
4.2240e-01   1.1136e-05   0.0000e+00   1.2431e-04   2.1826e-05   2.2479e-08   0.0000e+00   0.0000e+00   0.0000e+00   3.1791e-06   1.6048e-04   
4.7394e-01   1.3973e-05   0.0000e+00   1.3959e-04   3.1898e-05   4.8228e-08   0.0000e+00   0.0000e+00   0.0000e+00   3.6410e-06   1.8915e-04   
5.3176e-01   1.6855e-05   0.0000e+00   1.5423e-04   4.5924e-05   6.9453e-08   0.0000e+00   0.0000e+00   0.0000e+00   4.2095e-06   2.2129e-04   
